customer_id,name,city
1,John nowak,Warsaw
2,John smith,Warsaw
3,Jan kowalski,Gdansk
4,Anna zielinski,Warsaw
5,Maria wozniak,Warsaw
6,Anna nowak,Warsaw
7,Jan zielinski,Gdansk
8,Anna zielinski,Warsaw
9,John zielinski,Krakow
10,Jan wozniak,Gdansk
11,Piotr nowak,Poznan
12,Marek kowalski,Gdansk
13,Kasia smith,Krakow
14,Jan kowalski,Poznan
15,Piotr nowak,Warsaw
16,Kasia nowak,Krakow
17,Marek smith,Gdansk
18,Piotr nowak,Gdansk
19,Kasia zielinski,Warsaw
20,Kasia nowak,Gdansk
21,Piotr zielinski,Poznan
22,Piotr zielinski,Warsaw
23,John nowak,Warsaw
24,John kowalski,Poznan
25,Piotr nowak,Poznan
26,Jan nowak,Krakow
27,Piotr wozniak,Gdansk
28,Marek smith,Warsaw
29,Piotr smith,Warsaw
30,John smith,Gdansk
31,John nowak,Gdansk
32,John kowalski,Gdansk
33,John kowalski,Warsaw
34,Kasia wozniak,Krakow
35,John zielinski,Warsaw
36,John smith,Poznan
37,Marek nowak,Warsaw
38,Marek nowak,Poznan
39,Piotr wozniak,Krakow
40,Anna kowalski,Gdansk
41,John smith,Warsaw
42,John wozniak,Krakow
43,John wozniak,Warsaw
44,Piotr kowalski,Warsaw
45,John zielinski,Gdansk
46,Piotr zielinski,Krakow
47,Maria wozniak,Krakow
48,Jan kowalski,Gdansk
49,Kasia nowak,Poznan
50,Anna nowak,Warsaw
51,John kowalski,Poznan
52,John wozniak,Gdansk
53,Anna wozniak,Krakow
54,Maria wozniak,Gdansk
55,Piotr zielinski,Poznan
56,Anna nowak,Gdansk
57,Maria smith,Poznan
58,John smith,Warsaw
59,Piotr wozniak,Warsaw
60,Kasia nowak,Gdansk
61,John smith,Gdansk
62,Marek kowalski,Gdansk
63,Anna smith,Poznan
64,John zielinski,Gdansk
65,Jan kowalski,Krakow
66,Marek kowalski,Gdansk
67,Marek zielinski,Warsaw
68,Maria smith,Krakow
69,Anna nowak,Krakow
70,Marek smith,Warsaw
71,Anna kowalski,Gdansk
72,Anna nowak,Gdansk
73,Kasia nowak,Poznan
74,Maria kowalski,Warsaw
75,John wozniak,Gdansk
76,Jan smith,Gdansk
77,Marek zielinski,Krakow
78,Jan zielinski,Poznan
79,John kowalski,Gdansk
80,Piotr wozniak,Gdansk
81,John smith,Krakow
82,Maria wozniak,Warsaw
83,Jan kowalski,Warsaw
84,Piotr nowak,Gdansk
85,Maria kowalski,Gdansk
86,Jan nowak,Warsaw
87,John nowak,Warsaw
88,Anna nowak,Poznan
89,Piotr nowak,Gdansk
90,Jan smith,Gdansk
91,Kasia kowalski,Gdansk
92,Jan zielinski,Gdansk
93,Kasia kowalski,Poznan
